dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders
2022-01-02,1,1,1,16,1,1,0,1,0.26,0.2273,0.35,0.4179,casual,10
2022-01-02,1,1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881,casual,17
2022-01-02,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,casual,13
2022-01-02,1,1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239,casual,4
2022-01-02,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,casual,5
2022-01-02,1,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284,casual,3
2022-01-02,1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,casual,3
2022-01-02,1,1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537,casual,2
2022-01-03,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537,casual,0
2022-01-03,1,1,1,1,0,2,1,1,0.18,0.1818,0.55,0.2239,casual,1
2022-01-03,1,1,1,2,0,2,1,1,0.18,0.1667,0.51,0.2537,casual,0
2022-01-03,1,1,1,3,0,2,1,1,0.16,0.1364,0.55,0.2836,casual,0
2022-01-03,1,1,1,4,0,2,1,1,0.16,0.1515,0.55,0.2537,casual,0
2022-01-03,1,1,1,5,0,2,1,1,0.14,0.1364,0.54,0.194,casual,0
2022-01-03,1,1,1,6,0,2,1,1,0.14,0.1212,0.59,0.2836,casual,4
2022-01-03,1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537,casual,2
2022-01-03,1,1,1,8,0,2,1,1,0.16,0.1364,0.55,0.2836,casual,5
2022-01-03,1,1,1,9,0,2,1,1,0.16,0.1364,0.5,0.2836,casual,8
2022-01-03,1,1,1,10,0,2,1,1,0.16,0.1212,0.47,0.4627,casual,5
2022-01-03,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,casual,12
2022-01-03,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224,casual,4
2022-01-03,1,1,1,13,0,2,1,1,0.18,0.1212,0.34,0.6567,casual,5
2022-01-03,1,1,1,14,0,2,1,1,0.16,0.1212,0.43,0.5224,casual,7
2022-01-03,1,1,1,15,0,2,1,1,0.16,0.1212,0.37,0.4179,casual,9
2022-01-03,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821,casual,7
2022-01-03,1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627,casual,4
2022-01-03,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,casual,10
2022-01-03,1,1,1,19,0,2,1,1,0.12,0.0909,0.28,0.4179,casual,4
2022-01-03,1,1,1,20,0,2,1,1,0.12,0.1212,0.33,0.2537,casual,0
2022-01-03,1,1,1,21,0,2,1,1,0.1,0.1061,0.36,0.2239,casual,2
2022-01-03,1,1,1,22,0,2,1,1,0.1,0.1061,0.46,0.2537,casual,0
2022-01-03,1,1,1,23,0,2,1,1,0.1,0.0758,0.46,0.3881,casual,0
2022-01-04,1,1,1,0,0,3,1,1,0.08,0.0606,0.42,0.3284,casual,0
2022-01-04,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985,casual,0
2022-01-04,1,1,1,2,0,3,1,1,0.02,0.0152,0.34,0.2836,casual,0
2022-01-04,1,1,1,3,0,3,1,1,0.02,0.0152,0.34,0.2836,casual,0
2022-01-04,1,1,1,4,0,3,1,1,0.02,0.0455,0.41,0.194,casual,0
2022-01-04,1,1,1,5,0,3,1,1,0.02,0.0455,0.41,0.194,casual,0
2022-01-04,1,1,1,6,0,3,1,1,0.02,0.0455,0.41,0.1642,casual,0
2022-01-04,1,1,1,7,0,3,1,1,0.02,0.0455,0.44,0.194,casual,1
2022-01-04,1,1,1,8,0,3,1,1,0.02,0.0606,0.44,0.1343,casual,5
2022-01-04,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343,casual,7
2022-01-04,1,1,1,10,0,3,1,1,0.06,0.1061,0.45,0,casual,7
2022-01-04,1,1,1,11,0,3,1,2,0.08,0.1212,0.42,0.0896,casual,6
2022-01-04,1,1,1,12,0,3,1,2,0.1,0.1061,0.46,0.194,casual,9
2022-01-04,1,1,1,13,0,3,1,2,0.14,0.1212,0.43,0.2537,casual,9
2022-01-04,1,1,1,14,0,3,1,2,0.14,0.1212,0.46,0.2537,casual,6
2022-01-04,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,casual,9
2022-01-04,1,1,1,16,0,3,1,2,0.18,0.1667,0.4,0.2836,casual,8
2022-01-04,1,1,1,17,0,3,1,2,0.2,0.197,0.4,0.194,casual,9
2022-01-04,1,1,1,18,0,3,1,2,0.2,0.2121,0.37,0.1343,casual,9
2022-01-04,1,1,1,19,0,3,1,2,0.2,0.2273,0.4,0.1045,casual,2
2022-01-04,1,1,1,20,0,3,1,2,0.2,0.197,0.4,0.194,casual,2
2022-01-04,1,1,1,21,0,3,1,2,0.2,0.2576,0.44,0,casual,2
2022-01-04,1,1,1,22,0,3,1,2,0.2,0.2273,0.47,0.0896,casual,4
2022-01-04,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045,casual,0
2022-01-05,1,1,1,0,0,4,1,2,0.22,0.2273,0.47,0.194,casual,1
2022-01-05,1,1,1,1,0,4,1,1,0.2,0.2273,0.51,0.0896,casual,0
2022-01-05,1,1,1,2,0,4,1,1,0.2,0.2273,0.51,0.0896,casual,0
2022-01-05,1,1,1,3,0,4,1,1,0.2,0.2576,0.61,0,casual,0
2022-01-05,1,1,1,4,0,4,1,2,0.2,0.2273,0.59,0.0896,casual,0
2022-01-05,1,1,1,5,0,4,1,2,0.2,0.2273,0.59,0.0896,casual,0
2022-01-05,1,1,1,6,0,4,1,2,0.2,0.2121,0.75,0.1343,casual,0
2022-01-05,1,1,1,7,0,4,1,2,0.2,0.2273,0.69,0.0896,casual,3
2022-01-05,1,1,1,8,0,4,1,2,0.2,0.2576,0.75,0,casual,11
2022-01-05,1,1,1,9,0,4,1,2,0.22,0.2727,0.69,0,casual,7
2022-01-05,1,1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896,casual,5
2022-01-05,1,1,1,11,0,4,1,1,0.3,0.3333,0.49,0,casual,6
2022-01-05,1,1,1,12,0,4,1,1,0.3,0.2879,0.49,0.2537,casual,6
2022-01-05,1,1,1,13,0,4,1,1,0.34,0.303,0.42,0.2985,casual,6
2022-01-05,1,1,1,14,0,4,1,1,0.34,0.3182,0.39,0.2836,casual,13
2022-01-05,1,1,1,15,0,4,1,1,0.36,0.3333,0.34,0.2836,casual,6
2022-01-05,1,1,1,16,0,4,1,1,0.36,0.3333,0.34,0.2836,casual,19
2022-01-05,1,1,1,17,0,4,1,2,0.36,0.3485,0.34,0.194,casual,19
2022-01-05,1,1,1,18,0,4,1,1,0.34,0.3333,0.36,0.1642,casual,9
2022-01-05,1,1,1,19,0,4,1,1,0.34,0.3485,0.34,0.0896,casual,10
2022-01-05,1,1,1,20,0,4,1,1,0.3,0.3333,0.49,0,casual,5
2022-01-05,1,1,1,21,0,4,1,1,0.26,0.2727,0.6,0.1343,casual,9
2022-01-05,1,1,1,22,0,4,1,1,0.26,0.2576,0.6,0.1642,casual,1
2022-01-05,1,1,1,23,0,4,1,1,0.24,0.2576,0.7,0.1045,casual,4
2022-01-06,1,1,1,0,0,5,1,1,0.22,0.2576,0.75,0.0896,casual,1
2022-01-06,1,1,1,1,0,5,1,1,0.22,0.2727,0.75,0,casual,2
2022-01-06,1,1,1,2,0,5,1,1,0.22,0.2273,0.69,0.1642,casual,2
2022-01-06,1,1,1,3,0,5,1,1,0.22,0.2424,0.69,0.1045,casual,1
2022-01-06,1,1,1,4,0,5,1,1,0.22,0.2273,0.69,0.1343,casual,0
2022-01-06,1,1,1,5,0,5,1,2,0.2,0.2121,0.8,0.1343,casual,0
2022-01-06,1,1,1,6,0,5,1,2,0.22,0.2424,0.73,0.1045,casual,1
2022-01-06,1,1,1,7,0,5,1,2,0.24,0.2879,0.65,0,casual,4
2022-01-06,1,1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343,casual,11
2022-01-06,1,1,1,9,0,5,1,1,0.24,0.2424,0.7,0.1642,casual,4
2022-01-06,1,1,1,10,0,5,1,1,0.26,0.2576,0.65,0.194,casual,14
2022-01-06,1,1,1,11,0,5,1,1,0.3,0.303,0.56,0.1642,casual,8
2022-01-06,1,1,1,12,0,5,1,1,0.36,0.3333,0.5,0.2537,casual,23
2022-01-06,1,1,1,13,0,5,1,1,0.4,0.4091,0.43,0.2836,casual,16
2022-01-06,1,1,1,14,0,5,1,1,0.46,0.4545,0.36,0.194,casual,26
2022-01-06,1,1,1,15,0,5,1,1,0.52,0.5,0.27,0.2537,casual,44
2022-01-06,1,1,1,16,0,5,1,1,0.52,0.5,0.27,0.2836,casual,35
2022-01-06,1,1,1,17,0,5,1,1,0.46,0.4545,0.36,0.2239,casual,20
2022-01-06,1,1,1,18,0,5,1,1,0.5,0.4848,0.29,0.2537,casual,28
2022-01-06,1,1,1,19,0,5,1,1,0.46,0.4545,0.33,0.2836,casual,11
2022-01-06,1,1,1,20,0,5,1,1,0.42,0.4242,0.41,0.194,casual,14
2022-01-06,1,1,1,21,0,5,1,1,0.4,0.4091,0.43,0.2239,casual,17
2022-01-06,1,1,1,22,0,5,1,1,0.36,0.3485,0.5,0.194,casual,12
2022-01-06,1,1,1,23,0,5,1,1,0.36,0.3788,0.5,0,casual,13
2022-01-07,1,1,1,0,0,6,0,1,0.36,0.3485,0.5,0.1642,casual,2
2022-01-07,1,1,1,1,0,6,0,1,0.38,0.3939,0.46,0.1642,casual,6
2022-01-07,1,1,1,2,0,6,0,1,0.36,0.3636,0.5,0.1045,casual,2
2022-01-07,1,1,1,3,0,6,0,1,0.32,0.3333,0.57,0.1045,casual,1
2022-01-07,1,1,1,4,0,6,0,1,0.32,0.3333,0.57,0.0896,casual,1
2022-01-07,1,1,1,5,0,6,0,1,0.26,0.2727,0.75,0.1045,casual,2
2022-01-07,1,1,1,6,0,6,0,1,0.26,0.2727,0.75,0.1045,casual,0
2022-01-07,1,1,1,7,0,6,0,1,0.22,0.2273,0.87,0.194,casual,0
2022-01-07,1,1,1,8,0,6,0,1,0.24,0.2576,0.75,0.1045,casual,0
2022-01-07,1,1,1,9,0,6,0,1,0.22,0.2273,0.8,0.1343,casual,14
2022-01-07,1,1,1,10,0,6,0,1,0.28,0.303,0.75,0.0896,casual,43
2022-01-07,1,1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239,casual,74
2022-01-07,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239,casual,100
2022-01-07,1,1,1,13,0,6,0,1,0.44,0.4394,0.44,0.194,casual,149
2022-01-07,1,1,1,14,0,6,0,1,0.5,0.4848,0.42,0.2836,casual,156
2022-01-07,1,1,1,15,0,6,0,1,0.58,0.5455,0.37,0.2985,casual,132
2022-01-07,1,1,1,16,0,6,0,2,0.56,0.5303,0.37,0.2836,casual,133
2022-01-07,1,1,1,17,0,6,0,2,0.54,0.5152,0.43,0.1343,casual,87
2022-01-07,1,1,1,18,0,6,0,1,0.54,0.5152,0.45,0.1343,casual,49
2022-01-07,1,1,1,19,0,6,0,1,0.52,0.5,0.42,0.1045,casual,44
2022-01-07,1,1,1,20,0,6,0,1,0.5,0.4848,0.39,0.2537,casual,21
2022-01-07,1,1,1,21,0,6,0,1,0.44,0.4394,0.44,0.2239,casual,22
2022-01-07,1,1,1,22,0,6,0,1,0.44,0.4394,0.38,0.2537,casual,16
2022-01-07,1,1,1,23,0,6,0,1,0.42,0.4242,0.38,0.2239,casual,16
2022-01-08,1,1,1,0,0,0,0,1,0.38,0.3939,0.4,0.2836,casual,14
2022-01-08,1,1,1,1,0,0,0,1,0.34,0.3333,0.42,0.194,casual,10
2022-01-08,1,1,1,2,0,0,0,1,0.36,0.3333,0.37,0.2836,casual,10
2022-01-08,1,1,1,3,0,0,0,1,0.34,0.3333,0.42,0.1343,casual,6
2022-01-08,1,1,1,4,0,0,0,1,0.32,0.303,0.49,0.2537,casual,2
2022-01-08,1,1,1,5,0,0,0,2,0.32,0.3333,0.49,0.1045,casual,0
2022-01-08,1,1,1,6,0,0,0,2,0.3,0.3333,0.52,0,casual,0
2022-01-08,1,1,1,7,0,0,0,2,0.3,0.3333,0.52,0,casual,1
2022-01-08,1,1,1,8,0,0,0,1,0.3,0.303,0.52,0.1343,casual,4
2022-01-08,1,1,1,9,0,0,0,1,0.32,0.3333,0.53,0.1343,casual,23
2022-01-08,1,1,1,10,0,0,0,1,0.34,0.3333,0.49,0.1642,casual,27
2022-01-08,1,1,1,11,0,0,0,1,0.36,0.3485,0.46,0.2239,casual,55
2022-01-08,1,1,1,12,0,0,0,1,0.38,0.3939,0.43,0.2239,casual,78
2022-01-08,1,1,1,13,0,0,0,1,0.4,0.4091,0.37,0.2985,casual,77
2022-01-08,1,1,1,14,0,0,0,1,0.4,0.4091,0.4,0.194,casual,75
2022-01-08,1,1,1,15,0,0,0,1,0.4,0.4091,0.37,0.2836,casual,89
2022-01-08,1,1,1,16,0,0,0,1,0.4,0.4091,0.37,0.2985,casual,58
2022-01-08,1,1,1,17,0,0,0,1,0.38,0.3939,0.4,0.2239,casual,22
2022-01-08,1,1,1,18,0,0,0,1,0.34,0.3182,0.46,0.2239,casual,19
2022-01-08,1,1,1,19,0,0,0,1,0.32,0.3182,0.49,0.194,casual,8
2022-01-08,1,1,1,20,0,0,0,1,0.3,0.303,0.52,0.1642,casual,7
2022-01-08,1,1,1,21,0,0,0,1,0.28,0.2727,0.56,0.2239,casual,10
2022-01-08,1,1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045,casual,4
2022-01-08,1,1,1,23,0,0,0,1,0.26,0.2424,0.56,0.2537,casual,0
2022-01-09,1,1,1,0,0,1,1,1,0.24,0.2273,0.6,0.2239,casual,3
2022-01-09,1,1,1,1,0,1,1,1,0.24,0.2424,0.6,0.1343,casual,1
2022-01-09,1,1,1,2,0,1,1,1,0.24,0.2424,0.56,0.1343,casual,2
2022-01-09,1,1,1,3,0,1,1,1,0.24,0.2424,0.52,0.1642,casual,0
2022-01-09,1,1,1,4,0,1,1,1,0.22,0.2424,0.64,0.1045,casual,0
2022-01-09,1,1,1,5,0,1,1,2,0.2,0.2273,0.64,0.0896,casual,0
2022-01-09,1,1,1,6,0,1,1,2,0.22,0.2273,0.6,0.1343,casual,3
2022-01-09,1,1,1,7,0,1,1,2,0.22,0.2424,0.6,0.1045,casual,1
2022-01-09,1,1,1,8,0,1,1,2,0.22,0.2576,0.55,0.0896,casual,13
2022-01-09,1,1,1,9,0,1,1,2,0.22,0.2727,0.64,0,casual,9
2022-01-09,1,1,1,10,0,1,1,1,0.24,0.2879,0.6,0,casual,13
2022-01-09,1,1,1,11,0,1,1,2,0.26,0.2879,0.56,0.0896,casual,6
2022-01-09,1,1,1,12,0,1,1,2,0.26,0.2727,0.56,0.1045,casual,10
2022-01-09,1,1,1,13,0,1,1,2,0.26,0.2727,0.56,0.1045,casual,3
2022-01-09,1,1,1,14,0,1,1,3,0.22,0.2273,0.75,0.1642,casual,5
2022-01-09,1,1,1,15,0,1,1,3,0.22,0.2273,0.75,0.1642,casual,5
2022-01-09,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896,casual,3
2022-01-09,1,1,1,17,0,1,1,3,0.22,0.2727,0.87,0,casual,5
2022-01-09,1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896,casual,6
2022-01-09,1,1,1,19,0,1,1,3,0.2,0.2273,0.93,0.0896,casual,3
2022-01-09,1,1,1,20,0,1,1,2,0.2,0.2273,0.86,0.0896,casual,5
2022-01-09,1,1,1,21,0,1,1,2,0.2,0.2576,0.93,0,casual,1
2022-01-09,1,1,1,22,0,1,1,2,0.2,0.2273,0.92,0.1045,casual,8
2022-01-09,1,1,1,23,0,1,1,2,0.22,0.2424,0.87,0.1045,casual,1
2022-01-10,1,1,1,0,0,2,1,2,0.22,0.2424,0.87,0.1045,casual,0
2022-01-10,1,1,1,1,0,2,1,2,0.22,0.2424,0.93,0.1045,casual,2
2022-01-10,1,1,1,2,0,2,1,2,0.22,0.2273,0.87,0.1642,casual,2
2022-01-10,1,1,1,4,0,2,1,2,0.2,0.2121,0.86,0.1642,casual,0
2022-01-10,1,1,1,5,0,2,1,1,0.4,0.4091,0.47,0.2239,casual,0
2022-01-10,1,1,1,6,0,2,1,2,0.18,0.1818,0.93,0.194,casual,0
2022-01-10,1,1,1,7,0,2,1,2,0.18,0.197,0.93,0.1642,casual,3
2022-01-10,1,1,1,8,0,2,1,2,0.18,0.197,0.93,0.1642,casual,6
2022-01-10,1,1,1,9,0,2,1,2,0.18,0.197,0.93,0.1642,casual,11
2022-01-10,1,1,1,10,0,2,1,2,0.18,0.197,0.93,0.1642,casual,3
2022-01-10,1,1,1,11,0,2,1,1,0.42,0.4242,0.38,0.2985,casual,8
2022-01-10,1,1,1,12,0,2,1,1,0.42,0.4242,0.38,0.2985,casual,13
2022-01-10,1,1,1,13,0,2,1,1,0.42,0.4242,0.38,0.2985,casual,15
2022-01-10,1,1,1,14,0,2,1,1,0.42,0.4242,0.38,0.2985,casual,10
2022-01-10,1,1,1,15,0,2,1,1,0.42,0.4242,0.38,0.2985,casual,17
2022-01-10,1,1,1,16,0,2,1,1,0.42,0.4242,0.38,0.3582,casual,15
2022-01-10,1,1,1,17,0,2,1,1,0.42,0.4242,0.38,0.2537,casual,14
2022-01-10,1,1,1,18,0,2,1,1,0.4,0.4091,0.4,0.1045,casual,13
2022-01-10,1,1,1,19,0,2,1,1,0.38,0.3939,0.46,0.1045,casual,11
2022-01-10,1,1,1,20,0,2,1,1,0.34,0.3485,0.53,0.1045,casual,10
2022-01-10,1,1,1,21,0,2,1,1,0.32,0.3333,0.66,0.0896,casual,7
2022-01-10,1,1,1,22,0,2,1,1,0.3,0.303,0.7,0.0896,casual,10
2022-01-10,1,1,1,23,0,2,1,1,0.26,0.2727,0.81,0.1045,casual,3
2022-01-11,1,1,1,0,0,3,1,1,0.26,0.303,0.81,0,casual,2
2022-01-11,1,1,1,1,0,3,1,1,0.24,0.2576,0.87,0.0896,casual,1
2022-01-11,1,1,1,2,0,3,1,1,0.2,0.2121,0.85,0.1642,casual,0
2022-01-11,1,1,1,3,0,3,1,1,0.22,0.2727,0.8,0,casual,0
2022-01-11,1,1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343,casual,0
2022-01-11,1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343,casual,0
2022-01-11,1,1,1,6,0,3,1,1,0.2,0.2121,0.86,0.1343,casual,2
2022-01-11,1,1,1,7,0,3,1,1,0.2,0.2121,0.8,0.1343,casual,9
2022-01-11,1,1,1,8,0,3,1,1,0.2,0.2273,0.82,0.1045,casual,11
2022-01-11,1,1,1,9,0,3,1,2,0.2,0.2121,0.86,0.1343,casual,7
2022-01-11,1,1,1,10,0,3,1,2,0.24,0.2424,0.87,0.1343,casual,13
2022-01-11,1,1,1,11,0,3,1,2,0.26,0.2879,0.87,0.0896,casual,9
2022-01-11,1,1,1,12,0,3,1,3,0.3,0.3333,0.81,0,casual,4
2022-01-11,1,1,1,13,0,3,1,3,0.32,0.3485,0.76,0,casual,8
2022-01-11,1,1,1,14,0,3,1,3,0.32,0.3333,0.81,0.1045,casual,3
2022-01-11,1,1,1,15,0,3,1,2,0.34,0.3485,0.87,0.0896,casual,6
2022-01-11,1,1,1,16,0,3,1,2,0.34,0.3182,0.87,0.2537,casual,6
2022-01-11,1,1,1,17,0,3,1,3,0.34,0.3182,0.87,0.2239,casual,6
2022-01-11,1,1,1,18,0,3,1,3,0.34,0.3333,0.87,0.194,casual,2
2022-01-11,1,1,1,19,0,3,1,3,0.32,0.303,0.93,0.2239,casual,1
2022-01-11,1,1,1,20,0,3,1,3,0.32,0.3182,0.93,0.1642,casual,2
2022-01-11,1,1,1,21,0,3,1,3,0.34,0.3182,0.87,0.2239,casual,0
2022-01-11,1,1,1,22,0,3,1,3,0.34,0.3333,0.87,0.194,casual,0
2022-01-11,1,1,1,23,0,3,1,3,0.34,0.3182,0.87,0.2239,casual,0
2022-01-12,1,1,1,0,0,4,1,3,0.34,0.3333,0.93,0.194,casual,0
2022-01-12,1,1,1,1,0,4,1,3,0.36,0.3485,0.93,0.194,casual,0
2022-01-12,1,1,1,2,0,4,1,3,0.36,0.3485,0.93,0.2537,casual,1
2022-01-12,1,1,1,3,0,4,1,3,0.36,0.3485,0.93,0.2537,casual,0
2022-01-12,1,1,1,4,0,4,1,3,0.36,0.3485,0.93,0.194,casual,0
2022-01-12,1,1,1,5,0,4,1,3,0.34,0.3485,0.93,0.0896,casual,0
2022-01-12,1,1,1,6,0,4,1,3,0.36,0.3485,0.93,0.1343,casual,1
2022-01-12,1,1,1,7,0,4,1,2,0.34,0.3182,0.87,0.2836,casual,2
2022-01-12,1,1,1,8,0,4,1,1,0.32,0.3182,0.81,0.194,casual,11
2022-01-12,1,1,1,9,0,4,1,1,0.32,0.3333,0.81,0.1045,casual,10
2022-01-12,1,1,1,10,0,4,1,1,0.34,0.3485,0.81,0.1045,casual,6
2022-01-12,1,1,1,11,0,4,1,2,0.34,0.3485,0.81,0.1045,casual,18
2022-01-12,1,1,1,12,0,4,1,2,0.34,0.3485,0.81,0.1045,casual,14
2022-01-12,1,1,1,13,0,4,1,1,0.42,0.4242,0.77,0.1642,casual,13
2022-01-12,1,1,1,14,0,4,1,1,0.42,0.4242,0.77,0.1642,casual,24
2022-01-12,1,1,1,15,0,4,1,1,0.44,0.4394,0.72,0.1343,casual,32
2022-01-12,1,1,1,16,0,4,1,1,0.46,0.4545,0.67,0.194,casual,33
2022-01-12,1,1,1,17,0,4,1,1,0.46,0.4545,0.63,0.1642,casual,23
2022-01-12,1,1,1,18,0,4,1,1,0.44,0.4394,0.67,0.194,casual,22
2022-01-12,1,1,1,19,0,4,1,2,0.42,0.4242,0.71,0.1642,casual,17
2022-01-12,1,1,1,20,0,4,1,2,0.42,0.4242,0.71,0.194,casual,11
2022-01-12,1,1,1,21,0,4,1,1,0.44,0.4394,0.67,0.1343,casual,12
2022-01-12,1,1,1,22,0,4,1,1,0.38,0.3939,0.76,0.2985,casual,12
2022-01-12,1,1,1,23,0,4,1,1,0.4,0.4091,0.76,0.3284,casual,7
2022-01-13,1,1,1,0,0,5,1,2,0.4,0.4091,0.71,0.2836,casual,4
2022-01-13,1,1,1,1,0,5,1,2,0.38,0.3939,0.76,0.2985,casual,0
2022-01-13,1,1,1,2,0,5,1,1,0.4,0.4091,0.76,0.3582,casual,1
2022-01-13,1,1,1,3,0,5,1,1,0.36,0.3333,0.87,0.2537,casual,3
2022-01-13,1,1,1,4,0,5,1,3,0.32,0.2879,0.7,0.4925,casual,1
2022-01-13,1,1,1,5,0,5,1,2,0.3,0.2424,0.7,0.5522,casual,0
2022-01-13,1,1,1,6,0,5,1,2,0.26,0.2576,0.75,0.2239,casual,2
2022-01-13,1,1,1,7,0,5,1,1,0.26,0.2576,0.6,0.2239,casual,3
2022-01-13,1,1,1,8,0,5,1,1,0.24,0.2121,0.52,0.3582,casual,11
2022-01-13,1,1,1,9,0,5,1,1,0.22,0.197,0.47,0.3881,casual,10
2022-01-13,1,1,1,10,0,5,1,1,0.24,0.197,0.44,0.4478,casual,2
2022-01-13,1,1,1,11,0,5,1,1,0.24,0.1818,0.38,0.6119,casual,12
2022-01-13,1,1,1,12,0,5,1,1,0.24,0.197,0.38,0.4925,casual,14
2022-01-13,1,1,1,13,0,5,1,1,0.26,0.2121,0.33,0.5224,casual,14
2022-01-13,1,1,1,14,0,5,1,1,0.26,0.2121,0.33,0.5522,casual,10
2022-01-13,1,1,1,15,0,5,1,1,0.26,0.2121,0.33,0.5821,casual,15
2022-01-13,1,1,1,16,0,5,1,1,0.28,0.2424,0.3,0.4627,casual,18
2022-01-13,1,1,1,17,0,5,1,1,0.28,0.2424,0.33,0.4179,casual,15
